algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.0848504845003119,0.07946731930105697,,,CDD-shifted PDP,1.0,0.016666666666666666,12,2,,alg1_direct_rmmse,0.0,,48,576,,,48,48,,48.0,576,-6.0,,96,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.08562376438852937,0.08159853575842303,0.0848509520795409,0.0794657063881406,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,-2.3932275777274552e-05,,48,576,2,,48,48,,,,-6.0,1,96,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.08562376438852937,0.08159853575842303,0.0848509520795409,0.0794657063881406,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,-2.3932275777274552e-05,,48,576,2,,48,48,,,,-6.0,1,96,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.08562376438852937,0.08159853575842303,0.0848509520795409,0.0794657063881406,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,-2.3932275777274552e-05,,48,576,2,,48,48,,,,-6.0,1,96,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.0856236886749822,0.0816003163623438,0.0848509260423718,0.07946450274808795,1.1059857360702705,1.1059857360702705,,1.0,0.016666666666666666,12,2,,alg2_coherence_block,-2.259960945799143e-05,1,48,576,,,,48,,,,-6.0,,96,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.09170639916907763,0.0911848945791395,0.09107611972111393,0.08811129056214766,,,,1.0,0.016666666666666666,12,2,,alg3_port_dmrs,-0.30750192809408344,,48,576,,equal_total_overhead,,48,24,,,-6.0,,96,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.02217941270781841,0.015873349327316537,,,CDD-shifted PDP,1.0,0.016666666666666666,12,2,,alg1_direct_rmmse,0.0,,48,576,,,48,48,,48.0,576,0.0,,96,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.02249981161249512,0.01579895913373576,0.022179237297480572,0.015872567570517797,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,3.4347186753028327e-05,,48,576,2,,48,48,,,,0.0,1,96,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.02249981161249512,0.01579895913373576,0.022179237297480572,0.015872567570517797,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,3.4347186753028327e-05,,48,576,2,,48,48,,,,0.0,1,96,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.02249981161249512,0.01579895913373576,0.022179237297480572,0.015872567570517797,,1.1059857360702703,,1.0,0.016666666666666666,12,2,1.9949473939481872,alg2_basis_reduced_support,3.4347186753028327e-05,,48,576,2,,48,48,,,,0.0,1,96,,50
