algorithm,basis_energy_threshold,bc05_sc_original,bc09_sc_original,bc_threshold,block_width_mhz,block_width_sc,case_id,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,n_blocks,n_prbs,n_sc,n_unknown_taps,noise_var_ls,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_pilot_re_relative,trials
Alg2 Basis LMMSE E90,0.9,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.08122328873799418,0.08122328873799418,0.07758276706394572,0.07758276706394572,,16543646540.404442,,30.0,6,2,4.449887610507725,alg2_basis_reduced_support,,48,576,18,1.25594321575479,,96,96,,,,-4.0,9,,2
Alg2 Basis LMMSE E95,0.95,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.07291056801369208,0.07291056801369208,0.07018207905442383,0.07018207905442383,,5970689187408.663,,30.0,6,2,5.000630523128774,alg2_basis_reduced_support,,48,576,24,1.25594321575479,,96,96,,,,-4.0,12,,2
Alg2 Basis LMMSE E99,0.99,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.06854562327685253,0.06854562327685253,0.06545209203838953,0.06545209203838953,,5972582325109.997,,30.0,6,2,5.601128675217133,alg2_basis_reduced_support,,48,576,34,1.25594321575479,,96,96,,,,-4.0,17,,2
Alg2 CoherenceBlock Bc0.9,,311,87,0.9,2.61,87,ds30_d32_sf6,260.4166666666667,32,0.16984018377142096,0.16984018377142096,0.12115209777413624,0.12115209777413624,1.6717374969812766,2.556256865553344,,30.0,6,2,,alg2_coherence_block,7,48,576,,1.25594321575479,,,96,,,,-4.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.06675755532309961,0.06675755532309961,0.06927584923779079,0.06927584923779079,,,,30.0,6,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_total_overhead,,96,48,,,-4.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.0270457740864102,0.0270457740864102,0.027391811611634245,0.027391811611634245,,,,30.0,6,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_per_port_density,,96,96,,,-4.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,93,26,,,,ds100_d16_sf6,130.20833333333334,16,nan,nan,0.28906398235262487,0.28906398235262487,,,CDD-shifted PDP,100.0,6,2,,alg1_direct_rmmse,,48,576,,1.9905358527674861,,96,96,,48.0,576,-6.0,,,2
Alg2 Basis LMMSE E90,0.9,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.4563275996068106,0.4563275996068106,0.30549692024870734,0.30549692024870734,,4868504928767.8545,,100.0,6,2,7.108959292157877,alg2_basis_reduced_support,,48,576,58,1.9905358527674861,,96,96,,,,-6.0,29,,2
Alg2 Basis LMMSE E95,0.95,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.4655378147124106,0.4655378147124106,0.2971937273365505,0.2971937273365505,,4870595285418.248,,100.0,6,2,7.816231215219115,alg2_basis_reduced_support,,48,576,74,1.9905358527674861,,96,96,,,,-6.0,37,,2
Alg2 Basis LMMSE E99,0.99,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.45203854549483524,0.45203854549483524,0.2898389620592278,0.2898389620592278,,4871019615771.918,,100.0,6,2,9.06151198283449,alg2_basis_reduced_support,,48,576,114,1.9905358527674861,,96,96,,,,-6.0,57,,2
Alg2 CoherenceBlock Bc0.9,,93,26,0.9,0.78,26,ds100_d16_sf6,130.20833333333334,16,0.7941620922343371,0.7941620922343371,0.5073345927178721,0.5073345927178721,11.202277836656082,12.128787361674808,,100.0,6,2,,alg2_coherence_block,23,48,576,,1.9905358527674861,,,96,,,,-6.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.2718450565986036,0.2718450565986036,0.32309413743463583,0.32309413743463583,,,,100.0,6,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_total_overhead,,96,48,,,-6.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.16891703293926347,0.16891703293926347,0.16931895525628576,0.16931895525628576,,,,100.0,6,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_per_port_density,,96,96,,,-6.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,93,26,,,,ds100_d16_sf6,130.20833333333334,16,nan,nan,0.14294674529133827,0.14294674529133827,,,CDD-shifted PDP,100.0,6,2,,alg1_direct_rmmse,,48,576,,1.25594321575479,,96,96,,48.0,576,-4.0,,,2
Alg2 Basis LMMSE E90,0.9,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.46469375050348205,0.46469375050348205,0.17800647240558035,0.17800647240558035,,4868504928767.8545,,100.0,6,2,7.108959292157877,alg2_basis_reduced_support,,48,576,58,1.25594321575479,,96,96,,,,-4.0,29,,2
Alg2 Basis LMMSE E95,0.95,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.4260553221022358,0.4260553221022358,0.15890324069483702,0.15890324069483702,,4870595285418.248,,100.0,6,2,7.816231215219115,alg2_basis_reduced_support,,48,576,74,1.25594321575479,,96,96,,,,-4.0,37,,2
Alg2 Basis LMMSE E99,0.99,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.4155653994912029,0.4155653994912029,0.1431989456205954,0.1431989456205954,,4871019615771.918,,100.0,6,2,9.06151198283449,alg2_basis_reduced_support,,48,576,114,1.25594321575479,,96,96,,,,-4.0,57,,2
Alg2 CoherenceBlock Bc0.9,,93,26,0.9,0.78,26,ds100_d16_sf6,130.20833333333334,16,0.6822837767572549,0.6822837767572549,0.30602657133954425,0.30602657133954425,11.202277836656082,12.128787361674808,,100.0,6,2,,alg2_coherence_block,23,48,576,,1.25594321575479,,,96,,,,-4.0,,,2
