algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg2 Basis LMMSE E70,0.7,11,5,,267,,,,1041.6666666666667,128,0.1014873707971732,0.0957018022376096,0.10157464373366194,0.09661564745106702,,8.607873503764564,,10.0,0.008333333333333333,24,2,2.4618138465377433,alg2_basis_reduced_support,-1.1389222885407082,,48,576,4,,24,24,,,,0.0,2,48,,30
Alg2 Basis LMMSE E90,0.9,11,5,,267,,,,1041.6666666666667,128,0.08491289776840248,0.08251670956756757,0.08497252615748646,0.08333513227149895,,89.87226146215248,,10.0,0.008333333333333333,24,2,2.7361306434855566,alg2_basis_reduced_support,-0.3638545074504262,,48,576,6,,24,24,,,,0.0,3,48,,30
Alg2 Basis LMMSE E95,0.95,11,5,,267,,,,1041.6666666666667,128,0.07997823504838526,0.0788193541103637,0.08002878825518821,0.07904306567659165,,1057.6804863648078,,10.0,0.008333333333333333,24,2,2.9364863678304447,alg2_basis_reduced_support,-0.1035316224609467,,48,576,8,,24,24,,,,0.0,4,48,,30
Alg2 Basis LMMSE E99,0.99,11,5,,267,,,,1041.6666666666667,128,0.07819922932337728,0.07519558236538021,0.07825055011148965,0.0756382649301277,,217561.61488478538,,10.0,0.008333333333333333,24,2,3.181841986942847,alg2_basis_reduced_support,-0.005943204876982652,,48,576,12,,24,24,,,,0.0,6,48,,30
Alg2 CoherenceBlock Bc0.9,,11,5,,267,0.9,8.01,267,1041.6666666666667,128,0.15230941587211752,0.15302645438982698,0.15600695569032552,0.15577254524805584,1.0477225575051663,1.095445115010332,,10.0,0.008333333333333333,24,2,,alg2_coherence_block,-3.002508832523393,3,48,576,,,,24,,,,0.0,,48,,30
Alg3 Port-DMRS RMMSE equal-total,,11,5,,267,,,,1041.6666666666667,128,0.07021143321480573,0.06480782845753341,0.07029343111955264,0.06484029672312398,,,,10.0,0.008333333333333333,24,2,,alg3_port_dmrs,0.45978336539833126,,48,576,,equal_total_overhead,,24,12,,,0.0,,48,1.0,30
Alg1 Direct RMMSE WB 576sc,,6,3,,267,,,,2083.3333333333335,256,nan,nan,0.01861999722196376,0.01750919584722169,,,CDD-shifted PDP,10.0,0.05,4,2,,alg1_direct_rmmse,0.0,,48,576,,,144,144,,48.0,576,0.0,,288,,30
Alg2 Basis LMMSE E50,0.5,6,3,,267,,,,2083.3333333333335,256,0.10834552212052244,0.0993502527618739,0.10830026523607136,0.09945892126109139,,1.0000000000000002,,10.0,0.05,4,2,1.9999999999999996,alg2_basis_reduced_support,-7.646499083986216,,48,576,2,,144,144,,,,0.0,1,288,,30
Alg2 Basis LMMSE E70,0.7,6,3,,267,,,,2083.3333333333335,256,0.03189786297549359,0.02935438568368674,0.03186421295890694,0.029250346310534685,,8.495842995696162,,10.0,0.05,4,2,2.4644761165716633,alg2_basis_reduced_support,-2.3332358409219274,,48,576,4,,144,144,,,,0.0,2,288,,30
Alg2 Basis LMMSE E90,0.9,6,3,,267,,,,2083.3333333333335,256,0.02292819037262252,0.020078308924038932,0.02289958361980291,0.02002043555679099,,84.00212952503742,,10.0,0.05,4,2,2.7413739526397944,alg2_basis_reduced_support,-0.8984797384055594,,48,576,6,,144,144,,,,0.0,3,288,,30
Alg2 Basis LMMSE E95,0.95,6,3,,267,,,,2083.3333333333335,256,0.020479461473936755,0.018071804370848918,0.020457661241138583,0.018047287069704914,,868.8058083784697,,10.0,0.05,4,2,2.9439670315740942,alg2_basis_reduced_support,-0.4087637099006663,,48,576,8,,144,144,,,,0.0,4,288,,30
Alg2 Basis LMMSE E99,0.99,6,3,,267,,,,2083.3333333333335,256,0.01888424166140936,0.01719566176227983,0.018868610531917893,0.01717574828098267,,98899.6255686867,,10.0,0.05,4,2,3.192881638283316,alg2_basis_reduced_support,-0.0576030842400916,,48,576,12,,144,144,,,,0.0,6,288,,30
Alg2 CoherenceBlock Bc0.9,,6,3,,267,0.9,8.01,267,2083.3333333333335,256,0.04908314591864814,0.049767227578323414,0.049011298776540854,0.04975663581057673,1.0610288543665203,1.1530096874093518,,10.0,0.05,4,2,,alg2_coherence_block,-4.203165994160132,3,48,576,,,,144,,,,0.0,,288,,30
Alg3 Port-DMRS RMMSE equal-total,,6,3,,267,,,,2083.3333333333335,256,0.017663166496357737,0.016482522838588063,0.017653965141638216,0.0164764456352397,,,,10.0,0.05,4,2,,alg3_port_dmrs,0.2313734712739848,,48,576,,equal_total_overhead,,144,72,,,0.0,,288,1.0,30
Alg1 Direct RMMSE WB 576sc,,6,3,,267,,,,2083.3333333333335,256,nan,nan,0.027575735329285405,0.026021871188347832,,,CDD-shifted PDP,10.0,0.03333333333333333,6,2,,alg1_direct_rmmse,0.0,,48,576,,,96,96,,48.0,576,0.0,,192,,30
Alg2 Basis LMMSE E50,0.5,6,3,,267,,,,2083.3333333333335,256,0.12022594844307892,0.10969435518080851,0.12011893371286976,0.10935936084012701,,1.0000000000000004,,10.0,0.03333333333333333,6,2,2.0,alg2_basis_reduced_support,-6.390843662629448,,48,576,2,,96,96,,,,0.0,1,192,,30
Alg2 Basis LMMSE E70,0.7,6,3,,267,,,,2083.3333333333335,256,0.04693021502476727,0.04339976790088611,0.04692627557444495,0.04319042860767513,,8.495989982067318,,10.0,0.03333333333333333,6,2,2.464442108098169,alg2_basis_reduced_support,-2.30888984592218,,48,576,4,,96,96,,,,0.0,2,192,,30
Alg2 Basis LMMSE E90,0.9,6,3,,267,,,,2083.3333333333335,256,0.033840428177962956,0.028811964453620352,0.033871384205075274,0.028812620121792948,,84.00941873453078,,10.0,0.03333333333333333,6,2,2.741307203908737,alg2_basis_reduced_support,-0.8930584302444579,,48,576,6,,96,96,,,,0.0,3,192,,30
Alg2 Basis LMMSE E95,0.95,6,3,,267,,,,2083.3333333333335,256,0.030360336109317373,0.026770132084859746,0.0304001467332243,0.026805979453967517,,869.0186701863979,,10.0,0.03333333333333333,6,2,2.943872035581709,alg2_basis_reduced_support,-0.42348577754684674,,48,576,8,,96,96,,,,0.0,4,192,,30
Alg2 Basis LMMSE E99,0.99,6,3,,267,,,,2083.3333333333335,256,0.028112815170574137,0.02627790706828055,0.028156030833703886,0.02619709318670508,,99000.0867400103,,10.0,0.03333333333333333,6,2,3.1927421232601985,alg2_basis_reduced_support,-0.09044330047642773,,48,576,12,,96,96,,,,0.0,6,192,,30
Alg2 CoherenceBlock Bc0.9,,6,3,,267,0.9,8.01,267,2083.3333333333335,256,0.0633393940198429,0.06049336952482802,0.06327112725641297,0.060497041254989586,1.0629526743346818,1.1547005383792521,,10.0,0.03333333333333333,6,2,,alg2_coherence_block,-3.606784699619378,3,48,576,,,,96,,,,0.0,,192,,30
Alg3 Port-DMRS RMMSE equal-total,,6,3,,267,,,,2083.3333333333335,256,0.027052840717728004,0.023944951724628228,0.027054426297452645,0.023930636558112936,,,,10.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.08288773144202674,,48,576,,equal_total_overhead,,96,48,,,0.0,,192,1.0,30
